Epoch,Actor_Loss,Critic_Loss,Regularization_Loss,Reward,External_Reward,Internal_Reward,Entropy
1,-0.013315342,0.018655837,0.015152193,-0.17461222,-0.15946004,0.015152193,-3.1862326
2,-0.016467124,0.001094485,0.023274748,-0.17833742,-0.15506268,0.023274746,-3.1862326
3,-0.0102115,0.00020770526,0.020336011,-0.17358148,-0.15324548,0.020336011,-3.1862326
4,-0.005879517,0.0004288374,0.019098243,-0.16869178,-0.14959355,0.019098243,-3.1862326
5,-0.013910622,0.0014074022,0.040445838,-0.16638015,-0.1259343,0.040445838,-3.1862326
6,-0.016133893,0.0004673105,0.021216387,-0.15341954,-0.13220315,0.021216387,-3.1862326
7,-0.01098792,0.000680139,0.031841982,-0.15064856,-0.11880657,0.031841982,-3.1862326
8,-0.01643402,0.00034928016,0.032907065,-0.17079249,-0.13788542,0.032907065,-3.1862326
9,-0.019639967,0.00030482144,0.030771771,-0.16183957,-0.13106781,0.030771771,-3.1862326
10,-0.010736308,0.00027286206,0.032801982,-0.15833086,-0.12552887,0.032801975,-3.1862326
11,-0.01330202,0.0002402941,0.037402097,-0.16092679,-0.123524696,0.037402093,-3.1862326
12,-0.012838055,0.00017159722,0.045983892,-0.1687499,-0.122766,0.04598389,-3.1862326
13,-0.016229225,0.0002626135,0.03675467,-0.16370946,-0.1269548,0.036754664,-3.1862326
14,-0.009090579,0.00040159444,0.04640779,-0.16870815,-0.12230036,0.04640779,-3.1862326
15,-0.008832944,0.00021421596,0.0500719,-0.16748607,-0.11741417,0.050071903,-3.1862326
16,-0.01254491,0.00019573652,0.04648504,-0.16713338,-0.12064833,0.04648504,-3.1862326
17,-0.006239452,0.00037782648,0.046409268,-0.17085335,-0.12444408,0.04640926,-3.1862326
18,-0.009155537,0.0007345281,0.050418038,-0.15918796,-0.108769916,0.05041804,-3.1862326
19,-0.008059397,0.00015068176,0.042110603,-0.17339101,-0.13128042,0.042110607,-3.1862326
20,-0.0149293775,0.0014158011,0.06633236,-0.17935756,-0.1130252,0.066332355,-3.1862326
21,-0.010272787,0.0005290257,0.06465682,-0.17213371,-0.10747691,0.06465681,-3.1862326
22,-0.020259669,0.0001873835,0.040247407,-0.1667037,-0.1264563,0.040247407,-3.1862326
23,-0.014236987,0.0003285153,0.052690197,-0.15895256,-0.106262386,0.052690193,-3.1862326
24,-0.008408177,0.0007651556,0.044312432,-0.16683725,-0.122524805,0.04431243,-3.1862326
25,-0.014563721,0.0006496709,0.05407739,-0.16810504,-0.11402764,0.054077398,-3.1862326
26,-0.015453187,0.00044002806,0.04065701,-0.15798807,-0.11733107,0.040657014,-3.1862326
27,-0.025662184,0.0002110176,0.0623247,-0.16626498,-0.10394029,0.062324703,-3.1862326
28,-0.018839253,0.00047795122,0.059917495,-0.1591121,-0.0991946,0.0599175,-3.1862326
29,-0.011463729,0.00013968044,0.06427672,-0.16734105,-0.10306436,0.06427671,-3.1862326
30,-0.013782292,0.0003081063,0.064372696,-0.16205955,-0.09768687,0.0643727,-3.1862326
31,-0.018878328,0.0002093576,0.061693445,-0.16511467,-0.103421226,0.061693437,-3.1862326
32,-0.0140048675,0.00014316429,0.047712315,-0.16373733,-0.11602501,0.04771232,-3.1862326
33,-0.009801746,0.00051194517,0.054904934,-0.15629657,-0.10139164,0.054904927,-3.1862326
34,-0.020042889,0.0004880262,0.077218644,-0.16534103,-0.0881224,0.077218644,-3.1862326
35,-0.0068348437,0.0002159755,0.06940526,-0.16523996,-0.0958347,0.06940526,-3.1862326
36,-0.014406272,0.0008514081,0.040512983,-0.15866506,-0.11815207,0.040512983,-3.1862326
37,-0.009832275,0.00034255537,0.06080736,-0.16334483,-0.10253747,0.060807362,-3.1862326
38,-0.012629859,0.00064368924,0.046832275,-0.15720026,-0.11036798,0.04683227,-3.1862326
39,-0.01224916,0.00031783222,0.052569557,-0.16035677,-0.10778722,0.05256956,-3.1862326
40,-0.016792018,0.00023724562,0.0564336,-0.16272154,-0.10628794,0.056433596,-3.1862326
41,-0.018685019,0.00028046683,0.0431293,-0.15829846,-0.11516915,0.043129303,-3.1862326
42,-0.012075412,0.00031030676,0.054244537,-0.16931218,-0.115067646,0.054244544,-3.1862326
43,-0.016568836,0.00049704325,0.04723302,-0.15515886,-0.10792583,0.047233023,-3.1862326
44,-0.010097402,0.000324022,0.065012835,-0.17168687,-0.10667403,0.06501284,-3.1862326
45,-0.01876087,0.000180894,0.044699,-0.16647208,-0.12177308,0.044699,-3.1862326
46,-0.014326249,0.0012626458,0.044445336,-0.17090303,-0.12645768,0.044445336,-3.1862326
47,-0.010005356,0.00044657453,0.051554997,-0.1601226,-0.108567625,0.051554993,-3.1862326
48,-0.011555042,0.00039388312,0.043457866,-0.14908558,-0.105627716,0.043457866,-3.1862326
49,-0.006187599,0.00019643518,0.05392656,-0.15955177,-0.105625205,0.053926565,-3.1862326
50,-0.015489223,0.00037160373,0.04661423,-0.15661605,-0.11000182,0.046614226,-3.1862326
51,-0.019140812,0.00016319244,0.06575617,-0.17628403,-0.11052786,0.06575617,-3.1862326
52,-0.01012504,0.00041025478,0.05256496,-0.1609533,-0.10838835,0.05256496,-3.1862326
53,-0.013243687,0.00025715778,0.06811278,-0.16863352,-0.10052072,0.06811279,-3.1862326
54,-0.013580444,0.00096553966,0.044495363,-0.1671203,-0.122624926,0.044495367,-3.1862326
55,-0.012690603,0.00023734158,0.055169612,-0.1626759,-0.10750629,0.05516961,-3.1862326
56,-0.0056940205,0.00025695714,0.05030481,-0.15811059,-0.10780578,0.050304808,-3.1862326
57,-0.0057083485,0.00026498412,0.050426517,-0.1719689,-0.12154239,0.050426517,-3.1862326
58,-0.009823471,0.0003975757,0.06041075,-0.17065886,-0.11024812,0.06041074,-3.1862326
59,-0.013061973,0.00021372695,0.060332406,-0.16680431,-0.1064719,0.060332406,-3.1862326
60,-0.010996227,0.0006690023,0.058696236,-0.1605841,-0.10188788,0.058696233,-3.1862326
61,-0.0110891545,0.00016394038,0.052221294,-0.16689193,-0.11467065,0.05222129,-3.1862326
62,-0.008493004,0.00026488377,0.048600886,-0.16725281,-0.11865191,0.048600886,-3.1862326
63,-0.012968555,0.00040289992,0.05096385,-0.15361115,-0.1026473,0.05096385,-3.1862326
64,-0.0074678236,0.000250813,0.03805285,-0.15436316,-0.11631031,0.038052853,-3.1862326
65,-0.021797473,0.0002769745,0.06938,-0.16342786,-0.094047844,0.06938001,-3.1862326
66,-0.009693644,0.00024133782,0.061660215,-0.16873571,-0.1070755,0.06166022,-3.1862326
67,-0.0061377087,0.00041947587,0.062142715,-0.16464648,-0.10250376,0.06214271,-3.1862326
68,-0.009779826,0.0001003291,0.063415416,-0.16551208,-0.10209668,0.06341541,-3.1862326
69,-0.014002685,0.00039580488,0.056836754,-0.1571624,-0.10032566,0.056836754,-3.1862326
70,-0.0050925524,0.00015439159,0.0532884,-0.16896252,-0.11567412,0.053288408,-3.1862326
71,-0.010715217,0.00031008263,0.054558422,-0.15607277,-0.10151435,0.05455842,-3.1862326
72,-0.010495495,0.0004786189,0.06829161,-0.15578082,-0.08748922,0.06829161,-3.1862326
73,0.005516389,0.00018807784,0.06715334,-0.1679759,-0.10082255,0.067153335,-3.1862326
74,-0.011924359,0.0004946802,0.05609381,-0.15875778,-0.102663964,0.056093805,-3.1862326
75,-0.011776645,0.0012265142,0.08926574,-0.17495066,-0.08568494,0.089265734,-3.1862326
76,-0.022048714,0.00048457822,0.05437477,-0.16062248,-0.1062477,0.05437477,-3.1862326
77,-0.01342656,0.00031011787,0.050588757,-0.14824677,-0.09765802,0.050588753,-3.1862326
78,0.0013875036,0.00024404489,0.06726331,-0.16687728,-0.09961397,0.06726332,-3.1862326
79,0.00057217694,0.00026326298,0.06157689,-0.16001078,-0.09843388,0.0615769,-3.1862326
80,-0.013767856,0.00019233035,0.055724144,-0.15926538,-0.10354123,0.055724144,-3.1862326
81,0.039290782,0.00017392622,0.06764287,-0.16037169,-0.09272883,0.067642875,-3.1862326
82,0.020047659,0.00015002821,0.070436575,-0.16072452,-0.09028794,0.07043658,-3.1862326
83,0.036796767,0.00020273075,0.065260075,-0.16516331,-0.09990325,0.06526007,-3.1862326
84,0.010135113,0.00071452773,0.07060975,-0.17557506,-0.104965314,0.07060975,-3.1862326
85,-0.008182752,0.00017938104,0.06208819,-0.17307445,-0.11098625,0.062088203,-3.1862326
86,0.021400323,0.0008902386,0.06817794,-0.17649081,-0.108312875,0.06817794,-3.1862326
