Epoch,Actor_Loss,Critic_Loss,Regularization_Loss,Reward,Entropy
1,-0.048813015,0.014851465,0.007715086,-0.16469356,-3.1862326
2,-0.056849252,0.00046203609,0.021525592,-0.19060557,-3.1862326
3,-0.034666542,0.00018805894,0.024801672,-0.19537832,-3.1862326
4,-0.047988635,9.574642e-05,0.11330389,-0.16715823,-3.1862326
5,-0.04813524,0.00010023973,0.017216792,-0.1550042,-3.1862326
6,-0.094960205,0.0007221802,0.14158814,-0.19797227,-3.1862326
7,-0.016951827,0.00037907387,0.039117053,-0.15464179,-3.1862326
8,-0.062970504,2.7717468e-05,0.14595033,-0.1503621,-3.1862326
9,-0.035830364,4.4075573e-06,0.08109012,-0.15228647,-3.1862326
10,-0.03659836,4.085718e-06,0.056986693,-0.15295544,-3.1862326
11,-0.10478557,6.931126e-06,0.1462679,-0.15036209,-3.1862326
12,-0.08810061,4.7876956e-06,0.14531617,-0.15084332,-3.1862326
13,-0.06337629,2.7343753e-05,0.028636618,-0.1654526,-3.1862326
14,-0.092632204,2.6361866e-05,0.14716174,-0.15036207,-3.1862326
15,-0.015716316,1.6752073e-06,0.09287334,-0.15363161,-3.1862326
16,-0.019287298,2.4621154e-06,0.14352846,-0.15151893,-3.1862326
17,-0.05879885,2.250518e-06,0.14598627,-0.15124416,-3.1862326
18,-0.0703407,1.6185635e-06,0.14710043,-0.15094633,-3.1862326
19,-0.067952864,1.9995798e-06,0.14497043,-0.15299006,-3.1862326
20,-0.050461918,1.751069e-05,0.09170237,-0.1626228,-3.1862326
