timestamp,train_time,train_inference_time
1129229915206020,4057.000000,2905.000000
1129231915311718,4789.000000,6151.000000
1129233915386967,4839.000000,6402.000000
1129235915492140,4789.000000,6251.000000
1129237915595920,4809.000000,5941.000000
1129239915670603,3947.000000,5200.000000
1129241915770589,4829.000000,6091.000000
1129243915846964,3897.000000,5851.000000
1129245915911936,3897.000000,5410.000000
1129247916009665,3907.000000,5239.000000
1129249916109334,4748.000000,6642.000000
1129251916201758,3867.000000,5920.000000
1129253916286397,4798.000000,6682.000000
1129255916370964,4939.000000,6191.000000
1129257916486345,4759.000000,7013.000000
1129259916594822,7664.000000,9277.000000
1129261916696475,5790.000000,8045.000000
1129263916779880,3907.000000,6241.000000
1129265916874064,9898.000000,10700.000000
1129267916979496,4798.000000,7514.000000
1129269917081180,3967.000000,8015.000000
1129271917183508,4999.000000,7514.000000
1129273917287281,4748.000000,6913.000000
1129275917360880,3907.000000,6462.000000
1129277917443651,5029.000000,6592.000000
1129279917561381,5049.000000,7474.000000
1129281917645792,4758.000000,7003.000000
1129283917789464,7524.000000,8786.000000
1129285917881186,5810.000000,7474.000000
1129287917973228,5820.000000,6622.000000
1129289918075224,7003.000000,9127.000000
1129291918169345,4799.000000,6021.000000
1129293918257694,5630.000000,7073.000000
1129295918353426,4748.000000,5590.000000
1129297918460063,4789.000000,6372.000000
1129299918548907,4869.000000,6522.000000
1129301918640794,6001.000000,7674.000000
1129303918724565,5710.000000,6522.000000
1129305918810760,5770.000000,8024.000000
1129307918883841,4468.000000,6261.000000
1129309918969892,4798.000000,6452.000000
1129311919059206,8976.000000,7674.000000
1129313919166576,5640.000000,6151.000000
1129315919264534,5781.000000,7594.000000
1129317919376397,5169.000000,6682.000000
1129319919467989,4738.000000,5490.000000
1129321919572587,5099.000000,5540.000000
1129323919685038,6111.000000,7333.000000
1129325919801062,8035.000000,7844.000000
1129327919899098,4758.000000,5931.000000
